cleaned_tweet,label
beenbasedb kudabrazyy rings mvps bitches lol,False
beenflynsolo ppl talk bad ghettohood kid growing nigga funnnnnnn,False
bestproadvice facts tattoostattoo hes pussy tattooing nipples,False
bill rt nelayden bitches wanting act like niggas bad shit aint cuteeeee niggas act like bitches,False
bitchjones get worshiping bitch woof woof,False
blackchiquitita wow rt thatmanpalmer im lost buttcheek piercings yeah shes hoe,False
blacknerdjade ok sis shed rather broke bitch shrugs shell tell works,False
blackmantide whalelookyhere howdydowdy queer gaywad,False
brokenpiecesmsc itsnotadam faggot read tweets dat k wasnt even funny lol,False
brosconfessions bitch ungrateful fr lulwhore,False
cashandboobies kidnapped yo bitch,False
cbbaby whitethunduh alsarabsss hes beaner smh tell hes mexican,False
ccobey aydanmccoy happy birthday nigs thanks yo,False
chlldhoodruiner ur teacher tells u u homework bitch need go,False
caelang edham caelang nigga eating hoe lol hell yea lol john paul nigga said john paul,False
canifuckornah would yall lil ugly bald headed bitches stop making makeup weave,False
carelessone leafs better win damn game go riot shit earlychristmas better start looting nig,False
causewereguys going back school sucks dick hoes attend,False
causewereguys way fuck yo bitch year old,False
celeynichole whitethunduh come never bring food dont car retard,False
chadmfverbeck richnow doesnt show hella tinder hoes im friend anymore chill brought like like prople,False
chandlerparsons bout cowboys shutup pussy,False
clicquotsuave lmaooooooooooo nigga krillznuhcare,False
coleycee lilaerii girl know spitting g shit going lbvsbitch plz,False
coleycee let make couple tweets cuzzo page wont get twitter jaillmao bitch dont trick,False
comedyposts harlem shake excuse go full retard seconds,False
comedytruth amen miley dont need act like hoe bc shes emotionally damaged foh,False
corybandz one loyal female wayyyyy better hoes idc,False
crhedrys pussy licking pussy meow meow stopwhitepeople,False
dbabholloway check th man cowboysnation even faggot ny fans stands,False
dgotbricks happen vixen ent bitches got ran threw side like foothill bitch,False
daedavidavie whitethunduh im bitch okay nudes pat wow,False
devilgrimz vigxrarts youre fucking gay blacklisted hoe holding tehgodclan anyway,False
diamondloudkush fuck wrong bitches nobody knows,False
dietrich yall shut upp make bitch,False
dionairish hate im pregnant type bitch,False
doyouq got bitches dm dont ever readem top,False
domworldpeace baseball season win yankees love started,True
dommoneek little stupid bitch dont fuck yoooooouuuu,False
dreadheadari really asked dead ass serious tho could say bitch wheet lol,False
dunderbail im early bird im night owl im wise worms,True
edgarpixar overdosing heavy drugs doesnt sound bad tonight pussy shit every day,True
elgrillo pit bulls photographed lovely fairy tale creatures fairy tale creatures,True
ferociousghost stnamebravo aw fag dont tweet aw lol,False
flokid long lakers trash could careless thats real cc benballer hahaha,True
frosstyy hrheyd didnt say anything tho kiss faggot,False
funnypicsdepot play soccer cheat girls wear khaki coloured cargos haircut yup,True
gstatus could go fat ass bitch lap,False
gedmelle missed calls das yo po bitch twitter finna screamn freemoneymelle,False
gtmal ya side bitch gotta know rules shitanybody ask cousin jersey thinkin bout moving lmmfao,False
gagatom malefoot amo los pies fuck yeah,False
girlthatsvonte hoes thinking meat wont slap ass ainna bruh,False
girlthatsvonte yall bitches wit edges talking,False
girlthatsvonte yall still going trick treating year nahhell yeah ima da sweet tooth bandit steal bitches bags n shit,False
girllssues wanna sex mom fuck right pussy came damn got hacked like fuck,False
gizzyjones kiss u eyes open watch bitchlmfao,False
goofstroop woulda coulda shoulda ass hoe,False
gottiltf happy bday bitch ass nigga jetsandaswisherpreciate bitch roll,False
hbmostdope jayee pipinhoes used send bitch,False
hbmostdope ugly bitches like im wcw duh bitch aint nobody elses,False
halotgmg stnamebravo nigga know hacky sack hoes nah throw look passes lmao,False
heartlessfuck glad im getting outta atlanta nothing bunch niggas outta jail dumb bitches mad kids fuckin em,False
hermosaalma isnt ghettoits smart im idc,True
hiimjorib would wife hoe cuz wouldnt care cheating force relationship first place,False
hornyfacts single isnt excuse hoe theonemissluu,False
hoskinsty white boy power bitch black power bitch,False
hudgens lets get drunk get blowed spit shit spark blunts fuck hoes bro white dudes chill,False
iscoutgirls verballyabrupt bitch u around world back,False
itsyahboiray anelylove dont get dick sucked yo party bad bitch im fr gone set anelylove,False
itsyesie oomf soooo cute probably hoes lot,False
jayten every cartoon alway nuffsaid saving hoes lmao lmao damn captain saveahoe,False
jreebo wants get nose bad bois scally chav sockfetish stinking hot sox legs,True
jamesynba wish bitch like brother keezy ooooow bet,False
jasminepore dressed cat halloween basic pussy,False
jewelxo pornhub get gaming stream feature dumb bitches gtfo pornhub get katie,False
joebudden stop scared choke sex u bitch ass niggas shell like says guy hits women bed foh,False
johnnyperez whitethunduh ha well iguess make hoes loyal bro theyll never loyal hoes nig,False
kazatta takehov oh man molly ho fuck ya seed fixed,False
kelsiebelsi youre man refer every girl bitch,False
keyshawnswag lmfao cat started beating shit nigga finally got pussy nigga,False
keyshawnswag peel peel bring back rewind back im move shaq line ooooow tf said trash,True
kingcuh stanleys io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,False
kinghendo vondreaam naw old tape new cover upcoming mixtape kingofthehill yeah im waiting hoe mayne,False
kingteej ol dirty foot ass bitches funny,False
kingshawn whitethunduh thats get yellow flags amazing hell yeah niggy,False
kissmysmilee dont got time bitches actin iffy,False
knightfanneal ucfpinkparty come stay alive knights nation still early bird special comeatmeut,True
kyranadiya hoes aint loyal aint smfh wonder nobody decent wants,False
lcistj bruh studs keep thinking im soft hell ask ya girl many times screamed bitch oh okay stfu bye hoe,False
lodycash dry pussy bitches always blame condom,False
lunaraps shut yo bitch ass,False
laflaregodjosh gucci mane jail dropping mixtapes every month hoes cant even text back,False
latrobemark love hoes money wats wrong niggas,False
lebronvuitton loyal bitch burbs without daddy issues like finding holographic mewtwo sounding like lol,False
lilfridayhoe easy cum easy hoe thats fact,False
lifeasbros charlie sheen real major fucking respect charlie sheen,False
lightskingawdd wish bae got hoes tho,False
lilmike fuck twerking bitch cook,False
linniekravitz wesgodlaflare bitch wtf,False
lipethegreat hrheyd lipethegreat shut zoe fight pussy zoe im good man good maam move along,False
lolaaisdope lmao fucking snake bitches em,False
loveableaizah big booty hoes everywhere sheesh damn,False
mlbnetwork stay tuned mlbnetwork update report yankees b teixeiramark weeks dliming bum,True
mrad dezdlt play soccer cheat girls wear khaki coloured cargos haircut yes lmfaosoccerboy,True
madflyentist oregon chokes every year get field trash ass program rft,False
mannydiesel def cowboy lol rt artoffloyd terrell owens best eagle cowboy ever dude cried like bitch tv romo,False
markroundtreejr lmfaoooo hate black people theres black people niggers,False
master tolife gabrielastarr could u bitch potent,False
maxmayo pissed lad past would lick dirty soles slept,True
maxmayo love frat boy w soft long soles,True
maxmayo sexy lad hot soles arches,True
megamindnick whitethunduh nah fam gotta cheat hoes depends female feel,False
meshanojas vontethekidd got hicks lol,True
migsmichelen new twitter confusing shit go back south america bitch,False
miikitox toto means ass vaginai think pussy cause toto santi like nasty pussy,False
mikelahenry actually choose ugly bitch ass must fat,False
mileycyrus bitch couldnt kill vibe ya tried dis love miley,False
montrell im tired bitches saying look mean nigga big af wear tight shirts grim everybody,False
motherjones birds grandkids may never see thanks climate change climate,True
mvckfadden stay beautiful bitch,False
nickiminaj wutkinda r purple ceeeleeeman gurl jus playin stupid hoe track still shitted sum gurls,False
nastycopper money getting taller bitches getting blurry,False
newsomejade aint never seen bitch obsessed nigga im obsessed mine,False
nicholasted kobe stay talking trash lets forget jaustin meant one smh,False
nochillpaz least im nigger lmfao,False
nofakingg people always asking im mixed bad asian bitch lol,False
notoriousbm whiteponyjr ariza snake coward least isnt cripple like hero roach lmaoo,False
osayitaintso ignorealllaws fosters home imaginary trash whoa chill show everything tf,True
officialreplay lowkey tired tired quiet go sleep hoe,False
prayingforhead macklemroe stop bringing weird niggers mentions prayingforhead,False
prettybossbrat dont love hoes,False
patrickquelo yo girl cant homeboys ol weak bitch ass nigga,False
patsfanjoe dpalomino think worst advice gave dont pussy speed lol,False
poemsporn quote tweet favorite animalpussy,False
poeticsuccess hate strippers tell theyre dancers hoe ballet dancers dont pop pussy beethoven stripper,False
poffalicious andrewbryant poff double vision beers poff double pussy smh,False
poobie bitches twerk computer ya ya damn,False
prodsjewel sreadthepeace yungmindless peacepunkprince prince art nobody takin bitch,False
quant welfaregovernment aid claimed white people yall black slander trash,True
quant bitches dont care play role,False
queenkaaat took find hiding lime tree iemonaids dis bitch da wrong tree bro,False
rtnba drakes new shoes released nikejordan yes theres glitter shoes dudes fag,False
rachiesoul dizzleofficial inna di ghetto alone lmaoo,True
ramboutit master tolife ramboutit hoes austin teach us austini teach u get curved thats know,True
reachtheeclimax bitches cant cook know suck dick ones,False
renegademo fat hoes get chose lol,False
riahsm hoesaintloyal well theyre hoesno one expects loyal,False
rishaawilliams treshonscrooge nevertrustt ol bitch ass,False
rnadjorell bruh im tired niggas retweetin miley cyrus naked bitch aint types bad lmaooo,False
sactownprodigy tony romo mavs game dont mean still bitch lmao fuk cowgirls lol bitch fuck,False
samjlayman holy shit freddie highmore charlie chocolate factory rolls floor laughing,False
samirahusic dont want sex gf feel like im using anonymous whata faggot,False
sexualgxfs one followers somebody bitch dont,False
shaajenkins ya bitch always bitching clearly care annoying bitch,False
shantaughther catfish hoes thinkin slick niggas catching,False
shewenttojordan cant worry bitch aint worried bout real,False
showarrive side hoes insecure niggas cant handle real one,False
shunstokes rt bluprint lmao bitch come scooting tent like fuck shit,False
shunstokes cousin said share hoes brothers said sharing caring love brothers,False
slimgirlprobz im hungry ionn wanna spend money foodbroke hoe problems,False
smeegbaby dese hoes lyin us nigga,False
snakecharmsdump oh yeah fuck bitch,False
sportscenter eli manning threw nflleading th interception season lmao trash,True
sportscenter usc senior rb anthony brown calls head coach steve sarkisian racist quits team hes bitch,True
stellatex guess also zero time mansplaining adios stfu pussy,False
stephenwildboy chilling sexy scally lad,True
strap aint sharing bitch mines mines,False
sukmysweetness money impress simple broke bitches,False
sylvieamx pisces never anybodys bitch dont let people control change rigghhht,False
teejonez stanleys kingcuh tuku ho idk blah blah blah,True
teejonez kingcuh stanleys im mad cuh hahaha suure tuku ho ita,True
tayknosbest hoes crazy,False
taylorrbabee aint ever gonna slice bitch kevin hart,False
thatniggatroy oomf fuckin fine tho dam dont bitch,False
thegamerkingkev wonder girl gave head boys drink magaluf twitter probly sends nudes fags,False
thenewsat newsatquestions yeah bitch yeah bitch call maybe b steveo c later jesse pinkman machinegunkelly,False
thenymphotweets hickies thighs right pussy right,False
theonemissluu would still love im longer young beautiful ugly monkey ass,False
therealrickyb jetsandaswisher gook yall come frontbitch aint coming,False
therealrickyb jetsandaswisher faggot bitch,False
therealistsam madrid yea im ipad dont work friday lets ball faggot tropicalblanketi work,False
theo scally lad would get,True
theomaxximus gerryshalloweenparty halloween yesterday stupid nigger,False
theomaxximus chrus still supahot tho walks teacher test drops test bitch fohead,False
thornton kantkeepahbytch love eating pussy lol never get full lol eat shit forever lol ever,False
tmaccgfg voiceofdstreetz tmaccgfg tizzimarie slushes hoes nasty anyway famthem hoes taste like meds,False
tmaccgfg tizzimarie slushes hoes nasty anyway fam,False
tmaccgfg bobby bitchby bobbyshmurdags getting live fuck hell yea play hoe workout,False
trelekidd yo bitch gucci mane rt jabarithegreat bitch stoner,False
tweetgamelazy ride bitch handle bars,False
tyjoncuffee aint hoe get traphoussseeeee,False
uberfacts sad tv character deaths still bitter stark man,True
unholyjack harbor bitches party bus hoes lol,False
vbomb woodchuck pussy love,False
veronikahumbert ultraviolence video coming little bitch mtvhottest lana del rey bitchy promo,False
vineforthebyrd way fuck bitch lmfao kittycopter,False
wbur smuggler explains helped fighters along jihadi highway,True
wbeezy quathegreat aww avis look cute together gotta get ike avi bitch,False
wbeezy rundrc simple dont hoedont worry exposed fight mewhy,False
wannabekanye whys bitch boosting size isnt exactly healthy tho,False
withaprettyface nonlykeisha bet bitches kim bye,False
xxpdotjdot damn near gotta protect tweets stalkers annoying got dope dick drive bitches loco,False
xojennygirl im making marack girlfriend marackaf aye b pullin hoes like taught,False
xoxoangiee bruno fag boy love,False
yehitsvon rundrc must bitch sike naw always beefing,False
yankees yankees look rally bottom th rallycap,True
youngricooo wexicanafro dont take advantage nice person hoes everyjuan,False
youngricooo happy birthday bitch nigga wexicanafro thanks pal,False
youngricooo sad knowing hoes wont fuck bc aint got stacks wait till friday,False
yungmigo shanea cinco shit harder fucc niggayee fucc wit rich homie cuz dats ya homeboy fucc nicca,False
zoebarton hrheyd ewww said last sundayas last sunday read nigs,False
badabing punch real niggas face cause pussy nigga gonna punch right back strong mush shake,False
beedontcare pussy still fresh something stank girls say,False
geewillikers ass slapping one greatest things haha slapped girl ass got mad aint get pussy week,False
tommycollins wearerichnow buffalobills yeah texans much better fucking retard see youre mad,False
malibubarbie nd wtf dark bitches blonde please several seats hoe looking like blackmilds,False
sugga theres lane bitches need stay left n get right fuck outta face,False
sneakyb hate boys deny bitches smh,False
taradise ya nigs still saying yall dont eat butt straight face,False
yourewelcome im boss ass bitch needs sit corner,False
iwantfranny hes hoe cant,False
prettyflvck paul thinkin bout gettin rentals da weekend oooh shit bitches betta stay da streets,False
rapdreams bitches hold nigga get locked nigga go college military different story,False
simplycaitlin friends hate ratchet hoe,False
adriwadrri love fuck niggas hoes,False
airmaxlad hot meat sexy fuck scally lad would love meet trainers,False
airmaxlad sniff perved scally lad fuck yeah,False
alejandrap bitches love sosa,False
alexissixela whitethunduh legit watched seconds wtf prob cause retarded smh,False
allisonnamaya name cat ideas mr pussy,False
altosteel woof woof sexy thug boy scally,False
ambitiousbree nonlykeisha u see damn phone ringing married bitches makes demands havent called,False
analicialouise tevin favorite sophomore think hes funny hes really lmaoo hes little hoe,False
angelenagoley sex positions u call fucking soul outta bitch,False
ashlingwilde itsnotadam bored supposed cute faggot sometimes,False
ayyeeceee one mans trash another mans treasure,True
babineaux dont got type bad bitches thing like iongotnotype,False
bigbootybishopp whitethunduh lassen cc coach wants feel youll get nig doubt,False
bleedingtrap god teeth gold chain white bitches cocaine,False
cheetahbluntz hoe hoe shhhhh,False
chieflottahoes dc call rollers chiraq call thots across america known hoe,False
claytonjenn im gonna miss bitch bus driverno wont dont lie,False
coltfortygone hate bitches try put friendzone bitch im tryin score put endzone soul,False
complexuk ashley young tried deny bird landed mouth hahaha,True
datfullerkid trevaughnlg yall gimped aint tht bitch huh lol,False
deepthroatmike boyssouth take ride woof woof,True
demieggleton oh god love victoria mitchell bitches love,False
djsliime long distance shit wack knew bitch cheating uh oh,False
fiirting hes right bitches smh,False
fatboyswagg ban dat pussy life gotta pay millon dollar fine,False
fuckcamoclark roses red violets blue niggers black know thats true dylan,False
grillaze sitting window sill window open bird tries fly smacked protecttheanimals peta,True
glowstruck nigga gon nigga nigga sound fuckin retarded,False
greggutfeld video entire media likely mock crybaby,True
gurlimangie itskiaraaaa westyourmajesty im even shy stfu kikis mom hi angelique angelique smiles dips cracker soup,False
haitiangold tim tebow got cut every team nfl already got hoes starkville smh,False
hazelebaby karma bitch damn godprotectshisangels sips tea,False
hornyjhb fuckin hot gym pussy fuck yeah,False
hxhassan jihadi patron hajjaj alajmi arrested kuwait airport,True
iampickuplines call fireman cause turn hoes,False
icrawley could never bby lil dick thts got abortion last bitch oh god,False
idntwearcondoms watch women try argue like dick actually fucked pussy hate bitches,False
ilgdaily smoke weed public fuck cops man wanna dont run come retarded,False
itrapwatermelon tweety bird tho,True
irlfatty pussy sweet like watermelon thotermelon,False
itscoleharmon twitter rappers dm trash links,True
jsadass loud bitches annoy,False
jacaxeltlu eventually every bitch turns hoe truuu,False
jaimescudi tonybthrz jaimescudi swear oomf try talking tomorrow barackobama pussy,False
jamajam bitches pretending tf crazy aint never lied,False
jasmyncyniquee whitethunduh k bye hoe um bye,False
jayswaggkillah jackies retard blondeproblems least make grilled cheese,False
jboii ima keep giving pussy ass niggas ah reason hate,False
jethromass photo sole heaven,True
jgabsss stacey dash baddest bitch evaaaa,False
juicyyyjayyyy side bitch sunday,False
keazy facts baldheaded bitch made shit lmao,False
kayreneeee fuck wit us tweakin hoe shmurda,False
kazooook actin like th day wesgodlaflare spook,True
kikistfu ill break lil bitch neck wont even feel sorry savage,False
leikant fucking hot scally sneakersex sockfetish sniff trainersex love kinky scallies,False
likemicah yall dumb ass niggas pressed hoes yall weak fuck fuck weed hoes oreos,False
lildurk turn yo bitch eaterrrrrrrrr,False
lildurk dont trust dese hoes nikki told st stay fans screen shot asap finna come chiraq shoot sumn,False
marackaf whitethunduh aye yall ima tryout bowling team frfr tryouts passed tho theres two retard,False
maybe u got u want bitch enjoy crazy party would love attend,False
metroadlib colored contacts eyes blinders mine cause cant see lmao,True
michellewestt facts poonsoaker dudes hoes say dont got hoes jaustin,False
midywidey im rea start smacking bitches period bluffin best,False
molssyo lifes bitch die thats get high cause neva know youre gonna go sister perfect,False
molssyo one us drugs youre still wrong currieburry hahahahahahah im bitch sometimes,False
morgandaylee im feeling pretty fuckin ghetto smh,False
nohands tolife nohands dejaaleeann bcoleman swears im man easily easily behind austin nip,True
obeyjrock true ride die bitch fuck hahahahah,False
oldpicsarchive hgwells charlie chaplin history photography,True
ortizjaylene see brunos bitch ass twitter wtf brunos sees drake voice,False
ozziegarza whitethunduh im cool faggot chill tf cool nigga,False
ozziegarza whitethunduh im sure bitch frfr tf,False
poppunksucks twitter source news broadcast fucking retards nbc abc cnn fox etc keeping quiet,False
queendulaaa got couple bitches saying know ima let money talk im like wwyd,False
realfortes grudges weirdosand bitches,False
rhythmixx told mariam cigarettes birthday also called trash rn,True
riananewman edham brownies tonight kind,True
rollyup text back dont give fuck ill text another bitch damn someone hurt lol,False
ronaldiongi ummmmmm okay got hoes left right yah thang,False
royalswagg using ymxb find slope ass,False
rugbysocklad fit lads nice gear scally lads n trainers would get,True
rugbysocklad hell yeah bro fuck yeah sexy scally lad hot gear,False
rugbysocklad helping mate love scally play fuck yeah,False
rugbysocklad lads lads fuck yeah love scally lad action hot trainers,False
savagetwotone next year bitches gonna like gotta promise wont expose,False
scallynikelad sleazytwinks hot rt opcinjen lick bitch fuck yeah eat trainer u dirty fucker,False
sierrabernia tgcincokilby yall think celebrity pussy different locals yeah meghan goods,False
sleepyyongguk saw ajumma walk beginning saying wow trash cant even listen lmaoo,True
sniffsockslad need sox fuck yeah love kinky scally lad w rank sox sneaks,False
snoleezey dont ever expose females like thats childish bitch nigga shiiii,False
socass sexilexi socass yasss trys new things bestfriend bitch love,False
socass dude remember wop video sexilexi omg find,True
soxandjox thick raw fuck damn man pussy getting workout,False
soxdawg rawr rt skinrubberboi sexy french scally love frenchscally sexy scally woof woof,True
splurgb nothin life free bitches need write ya panties,False
stephencdo currieburry one bitches want burrito u catch potosino huh haha,False
talibanshawtyy niggas whole hoes cuz couldnt said better,False
theaveragerocks hardcore way eat mac cheese boil water snort cheese powder drink boiling water fuck bitches,False
thebravebird yourenotmytype fade perpetually fresher thats real ass bitch rite,False
thejudyann annoying bitch love judyanns pretty,False
thotmouths lmao bitch got huggies,False
trestiffer hi bitch bitch bye bitch,False
trutherbot look like bitch elcapacitor,False
whoiscoreyking chase money hoes,False
whooligan cant stand dont know want ass nigga bitch,False
wiganzlad markycrumb gmailshorts im way love chavhot sexy scally fucker,False
witmyrudeass newly gay bitches dont kno shit works,False
witmyrudeass bitch dont want real job become strippers lol lol,False
wodaeeex awww meat meat feelinsi ainn n feelings bitch,False
wodaeeex want snake bites industrial piercin tattoodem hoe accessories dea,False
worldtraveis baby albino meeeesh,True
worldwarzee hoes aint loyal,False
xoxoclauudia yassssss ordered chinese bitch ate tacos fat fuck,False
zmbiedance made bitch lunch elizabethbatman bitches love lunch,False
brainer soon bitch gets rich political power views change political whores,False
pussy day keeps devil away doperthanyola,False
aint bitch mean,False
bitches want baby dont want children,False
bitch must lost,False
baby like left side bitch cant cuz street side twitter said aint real,False
bae sounds like ghetto word use something else,True
batter wee cunt jewis cos fucked ex emma isnt battering girls ive nailedive moved onstop pussy n urself,False
bleed hoe alexa,False
boolin bando wit bitches,False
brownies brownie love movie,True
need bad bitch thats hotter might realist shit partynextdoor ever said thats feelin everyday,False
way punch bitches,False
caesar home rt naewoodster mjayskillz much bitch looks like lets start ape shit,False
chinese maverick communicating comrade u know giving imperialist yanks birdie,True
dad say hi snapchat dad duces bitch,False
believe hoes fact loyal disagree believe fact loyalest bunchthese hoes,False
dont know ugly bitches dont know broke niggaskevingates,False
dont make make fall live nigga like meee birds favorite songs weeknd,False
dont worry nigga see worry nigga dont see dats da nigga fuckin yo bitch,False
dont ever give pussy away keep tight alright,False
dropped stack cause bitch im poloboy song called dope download mixtape,False
dumb bitches dumb things,False
eat pussy like real nigga hungry,False
eff lets go cripple,False
everything look better bitch next,False
facto shaunasayomi cares hoe ass looks like,False
every bad bitch nigga tired fucking,False
foreign chick lie man bitch beautiful,False
fresh nigga kno need clean bitch kno im working cuz wanna see team rich,False
fuck make rules suck dragon balls bitch call goku,False
generate ascii boxes nodejs see ability bring flappybird node via ascii tubes bird,True
get shit bitch fine bear,False
get ass back detroit ya fuckin wigger,False
girls dated okay aint mad yo unless stabbed heart love hoe,False
know twitter password bitch please,False
seen shows seen hoes wasnt hot would thick,False
bitch hitting hoe,False
married white woman lucky sumbitch uncle ruckus,False
wanna nigga im trinna savings account omg imma funny ass bitch man thats real shit,False
great grandmas hoeher grandmas hoeher moms hoe shes hoe long line hoes grandpa carl everyone,False
hey go look video man found kidnapped girls ohiowhat nigger shitmybosssays,False
hey pussy still,False
draft gungho folks send afghanistan war zones show,True
hotter bitch,False
u talking hoes bout bro n em talking hoes bout bro n em,False
crazy bitch hilarious,False
know shoes dirty fuck whatever bitch dont call like negro one first things look shoes dog,False
thrill billywith hillbilly heart billyraycyrus hahahahaha jesus murphy,True
call bitch makennam,False
cant handle liquor bitches cant handle meeedd chief sosa,False
dont chase dudes chase bitches edgar bautista,False
dont love hoes baby forever,False
dont even need picture tamar bitch beat every picture,False
dont hoes,False
found new way chug open mouth alot shitallysays,True
fucking hate bitch much wanna smack face tongue kiss,False
got bitch set like jada picketqueen latifah riding round nieces bitch titi,False
got sister told stop calling women bitches,False
guess night bitches die stewie nigga,False
bitch bitch bitch eating halibut iamyoungroc freshrhymes jerksquad slowstir,False
ladylove shes married still wanna bang wont sex bitch troubadour probably,False
heard looking candy man bitch,False
hope dont get mad ladies call bitches bitches bc dont know names individually katt williams letmicahdown,False
got number im bitch boy,False
know shit eatin grin either fucked girl dreams sold car know youre faggot whatd sell,False
older men cause theyre mature supposed fool us bitch,False
prolly leave bitch cups hand yo hand hand,False
said dont like tastes like wolf pussy even know tastes like,False
taught eat pussy cut hair taught eat pussy hair name movie,False
used dress like cop oh really yeahright mad pussy really yesill never forget,False
went jail flock came home wit strike went jail bitch came home dike yg,False
fuck u u stand u dizzy bitch two unique separate phrases overheard relative saying younger,False
woke like thi bitch go back bed,False
would rather call bitch sir manager,False
ill beat pussy hard,False
ill slit throatneck,True
im funky ass honkey jtimberlake shout macklemore tonight cabaret jttour,False
im comparing kfc pussy maxonmaxoff,False
im downloading new personality ordering new face bitch love goddamn axl rose yelling sex robot,False
im feelin like malcolm middle bitches surround cant miss em,False
im gonna piss dimple sonia stop wasting prayers trash teams lol,False
im probably main bitch chocolate dipped cinnamon apple,False
im sick shit man jonniesantana sit bitch ass im fed bro rt sbabylife geno threw yet another pick smh,False
im sorry fucked yo bitch really dig nigga kingl,False
ibs irritable bitch syndrome,False
love hide yo bitch youll keep shorty wizkhalifa,False
talk back aint getting pussy,False
youre bad bitch put hands high every girl room starts waving hands around,False
imma tie bitch basement donkeyfuck ass two weeks straight hahahahahahahahaha centmovie beforeiselfdestruct,False
mind gotta dumb hoe anthem,False
albino mexican dad hes asian,True
takes true directioner accept larry know bitch fans like make boys cry thankyoupaulforconfirminglarry,False
allegations u bedroom u see words naive blind bitch know ur husband cheated u ramona dumb,False
never late tag bitch cyfyre,False
dykes hunter dyke dyke,False
julia roberts youre ho laurengardner nottinghill,False
follow yellow brick twitter,True
lmfaoooooooooooooooooo bbbrooks pussy good mama dont like guess gotta gomy mama,False
lol cripple wendy davis rt mailonline scientists create remotecontrolled chick study shy penguins,True
lets nips ahoy spank maybe,False
lets kill cracker babies wtf hear wow,False
like correct im wrong doesnt pimpin involve smackin bitches money,False
lmao blackbeauty rt sbabylife pound cake look like pussy,False
lmao swillalo drose adidas lighter phone shit retarded,False
mam rene doet haar rol net ze ongesteld wat ongesteld van dat soort vragen waar je denkt hoe leg ik die weer uit,True
maybe wants friend maybe shes stupid bitch never know make cum,False
mine plays dmx kirk franklin smh justcallmebrit well neighbors ghetto get like beat kids,True
